Rk,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
173,Dylan Cease,28,SDP,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,ceasedy01
174,Jesse Chavez,40,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,chaveje01
175,Aaron Civale,29,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,civalaa01
176,Emmanuel Clase,26,CLE,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,claseem01
177,Alex Cobb,36,CLE,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,cobbal01
178,Gerrit Cole,33,NYY,ALWS,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,colege01
179,Nestor Cortes,29,NYY,WS,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,cortene01
180,Danny Coulombe*,34,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,couloda01
181,Jake Cousins,29,NYY,ALWS,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,cousija01
182,Yu Darvish,37,SDP,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,darviyu01
183,Zach Dezenzo,24,HOU,AL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/DH,,dezenza01
184,Edwin Díaz,30,NYM,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,diazed04
185,Jasson Domínguez#,21,NYY,ALWS,3,0,0,1,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/HD,,dominja01
186,Seranthony Domínguez,29,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/1,,dominse01
187,Zach Eflin,30,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,eflinza01
188,Duke Ellis*,26,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/DH,,ellisdu01
189,Lucas Erceg*,29,KCR,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,erceglu01
190,Carlos Estévez,31,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,estevca01
191,Jeremiah Estrada#,25,SDP,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,estraje01
192,Caleb Ferguson,27,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,ferguca01
193,Jack Flaherty,28,LAD,NLWS,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,flaheja01
194,Jason Foley,28,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,foleyja01
195,Max Fried*,30,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,friedma01
196,Hunter Gaddis,26,CLE,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,gaddihu01
197,Reed Garrett,31,NYM,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,garrere01
198,Luis Gil,26,NYY,ALWS,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,gillu01
199,Brusdar Graterol,25,LAD,WS,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,gratebr01
200,Michael Grove,27,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,grovemi01
201,Sean Guenther*,28,DET,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,guentse01
202,Josh Hader*,30,HOU,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,haderjo01
203,Ian Hamilton,29,NYY,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,hamilia01
204,Brenan Hanifee,26,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,hanifbr01
205,Edgardo Henriquez,22,LAD,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,henried01
206,Daysbel Hernández,27,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,hernada03
207,Tim Herrin*,27,CLE,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,herriti01
208,Tim Hill,34,NYY,ALWS,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,hillti01
209,Bryan Hoeing,27,SDP,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,hoeinbr01
210,Jeff Hoffman,31,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,hoffmje02
211,Clay Holmes,31,NYY,ALWS,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,holmecl01
212,Tyler Holton*,28,DET,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,holtoty01
213,Brent Honeywell Jr.,29,LAD,NLWS,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,honeybr01
214,Daniel Hudson,37,LAD,NLWS,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,hudsoda01
215,Brant Hurter*,25,DET,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,hurtebr01
216,Luke Jackson,32,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,jackslu01
217,Alek Jacob*,26,SDP,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,jacobal01
218,Joe Jiménez,29,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,jimenjo02
219,Jackson Jobe,21,DET,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,jobeja01
220,Pierce Johnson,33,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,johnspi01
221,Tommy Kahnle,34,NYY,ALWS,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,kahnlto01
222,Orion Kerkering,23,PHI,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,kerkeor01
223,Bryan King,27,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,kingbr02
224,Michael King,29,SDP,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,kingmi01
225,Landon Knack*,26,LAD,NLWS,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,knackla01
226,Jared Koenig,30,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,koenija01
227,Michael Kopech,28,LAD,NLWS,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,kopecmi01
228,Dylan Lee*,29,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,leedy01
229,Mark Leiter Jr.,33,NYY,ALWS,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,leitema02
230,Ben Lively,32,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,livelbe01
231,Brandon Lockridge,27,SDP,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/H7,,lockrbr01
232,Sam Long*,28,KCR,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,longsa01
233,Michael Lorenzen,32,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,lorenmi01
234,Seth Lugo,34,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,lugose01
235,Ty Madden,24,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,maddety01
236,Sean Manaea,32,NYM,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,manaese01
237,Phil Maton,31,NYM,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,matonph01
238,Yuki Matsui*,28,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,matsuyu01
239,Tim Mayza*,32,NYY,ALWS,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,mayzati01
240,Nick Mears,27,MIL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,mearsni01
241,Trevor Megill*,30,MIL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,megiltr01
242,Tylor Megill,28,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,megilty01
243,Frankie Montas,31,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,montafr02
244,Keider Montero,23,DET,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,monteke01
245,Adrián Morejón*,25,SDP,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,morejad01
246,Eli Morgan,28,CLE,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,morgael01
247,Joe Musgrove,31,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,musgrjo01
248,Tobias Myers,25,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,myersto01
249,Héctor Neris,35,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,nerishe01
250,Aaron Nola,31,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,nolaaa01
251,Reese Olson,24,DET,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,olsonre01
252,Joel Payamps,30,MIL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,payamjo01
253,Freddy Peralta,28,MIL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,peralfr01
254,Wandy Peralta*,32,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,peralwa01
255,Cionel Pérez,28,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,perezci01
256,David Peterson*,28,NYM,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,peterda01
257,Evan Phillips,29,LAD,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,phillev01
258,Ryan Pressly,35,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,pressry01
259,Jose Quintana,35,NYM,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,quintjo01
260,Cole Ragans*,26,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,raganco01
261,Carlos Rodón*,31,NYY,ALWS,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,rodonca01
262,Joe Ross,31,MIL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,rossjo01
263,José Ruiz,29,PHI,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,ruizjo01
264,Erik Sabrowski,26,CLE,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,sabroer01
265,Cristopher Sánchez*,27,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,sanchcr01
266,Clarke Schmidt,28,NYY,ALWS,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,schmicl01
267,John Schreiber,30,KCR,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,schrejo01
268,Tanner Scott,29,SDP,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,scottta01
269,Kodai Senga*,31,NYM,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,sengako01
270,Luis Severino,30,NYM,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,severlu01
271,Brady Singer,27,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,singebr01
272,Tarik Skubal,27,DET,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,skubata01
273,Cade Smith,25,CLE,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,smithca06
274,AJ Smith-Shawver,21,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,smithaj01
275,Gregory Soto*,29,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,sotogr01
276,Ryne Stanek,32,NYM,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,stanery01
277,Matt Strahm,32,PHI,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,strahma01
278,Ranger Suárez*,28,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,suarera01
279,Robert Suarez,33,SDP,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,suarero01
280,Blake Treinen,36,LAD,NLWS,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,treinbl01
281,Framber Valdez,30,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,valdefr01
282,Alex Vesia*,28,LAD,NLWS,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,vesiaal01
283,Will Vest,29,DET,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,vestwi01
284,Michael Wacha,32,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,wachami01
285,Tyler Wade*,29,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/6,,wadety01
286,Andrew Walters,23,CLE,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,waltean01
287,Luke Weaver,30,NYY,ALWS,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,weavelu01
288,Jacob Webb,30,BAL,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,webbja01
289,Zack Wheeler*,34,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,wheelza01
290,Eli White,30,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0,/H,,whiteel04
291,Devin Williams,29,MIL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,willide03
292,Gavin Williams*,24,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,williga01
293,Yoshinobu Yamamoto,25,LAD,NLWS,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,yamamyo01
294,Danny Young*,30,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,youngda02
295,Ángel Zerpa*,24,KCR,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,zerpaan01
,League Average,,,,,,,,,,,,,,,,,.231,.317,.378,.695,,,,,,,,,-9999
